product_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Turrón de chocolate negro con almendras &quot;DOR&quot;,Gluten,Lácteos,,,,,,,,,,,,
Freeway Cola 0%,phénylalanine,sulfites,,,,,,,,,,,,
Mini tabletas de chocolate negro &quot;J.D. Gross&quot; Arriba Superieur 81% cacao,Avellanas,Almendras,Leche,,,,,,,,,,,
Tableta de chocolate negro &quot;J.D. Gross&quot; Arriba Superieur 81% cacao,Avellanas,Almendras,Leche,,,,,,,,,,,
"Paella Royale Volaille, fruits de mer & Chorizo - 1 kg ",blé,soja,céleri,moutarde,,,,,,,,,,
Bouchées apéritives Delicieux,Lait,oeufs,seigle,arachides,fruits à coque,sésame,,,,,,,,
Chips salées,Lait,gluten,moutarde,soja,oeuf,céleri,,,,,,,,
Master Crumble,Fruits à coque,Lupin,Sésame,Lait,Soja,,,,,,,,,
Almendras tostadas con piel con sal &quot;Alesto&quot; Variedad Largueta,Cacahuetes,Otros frutos de cáscara,,,,,,,,,,,,
cacahuetes chocolatées,fruits à coque,blé,,,,,,,,,,,,
Yogurt allo zabaione,fruits à coque,arachide,,,,,,,,,,,,
Patatas fritas lisas &quot;Deluxe&quot; Sabor chili,Gluten,Leche,Soja,,,,,,,,,,,
Patatas fritas lisas &quot;Deluxe&quot; Sabor a cebolla caramelizada,Gluten,Leche,Soja,,,,,,,,,,,
Vin Rouge,sulfites,,,,,,,,,,,,,
Ravioli 100% Pur Boeuf Sauce tomate cuisinée - 800 g ,Blé,Lait,Oeuf,,,,,,,,,,,
Pizza Jambon Champignons,Gluten,Lait,,,,,,,,,,,,
Patatas fritas lisas &quot;SnackDay&quot;,Gluten,Soja,Leche,,,,,,,,,,,
Patatas fritas onduladas &quot;SnackDay&quot;,Gluten,Soja,Leche,,,,,,,,,,,
2 steaks hachés saumon,crustacé,oeuf,céleri,moutarde,mollusque,arête,,,,,,,,
Terrine bretonne,oeufs,céléri,,,,,,,,,,,,
Mousse au chocolat noir,Fruits à coque,,,,,,,,,,,,,
Versaillais 8 personnes,Blé,Oeuf,Lait,Arachide,Soja,Fruits à coque,Sésame,Moutarde,Céleri,Anhydride sulfureux,Poisson,Crustacé,Mollusque,Lupin
Demi-baguette,Blé,Oeuf,Lait,Arachide,Soja,Fruits à coques,sésame,moutarde,céleri,anhydre sulfureux,poisson,crustacé,mollusque,lupin
Sondey biscuits pocket choco / lait,Fruits à coque,,,,,,,,,,,,,
Pizza Stonebaked Proscuitto,Celery,egg,mustard,sesame,soya,,,,,,,,,
Tiramisu Deluxe,Soja,Fruits à coque,,,,,,,,,,,,
12 Petits pains au lait Extra moelleux XXL - 480 g - Maître Jean Pierre,fruits à coques,soja,,,,,,,,,,,,
Sablés chocolat-coco,Fruits à coque,Soja,,,,,,,,,,,,
Pain de mie nature jambon emmental crudités,poisson,crustacé,,,,,,,,,,,,
Préparation de cerises noires,Beurre,,,,,,,,,,,,,
Almendras fritas sin piel con sal &quot;Alesto&quot; Variedad Marcona,Cacahuetes,Otros frutos de cáscara,,,,,,,,,,,,
Turrón de chocolate negro &quot;DOR&quot;,Leche,Otros frutos de cáscara,,,,,,,,,,,,
